name,email,date,city,salary
Ali,ali@gmail.com,2024-01-01,Lahore,50000
Sara,,2024-02-15,Karachi,60000
Ahmed,ahmed@yahoo.com,2023-12-20,Islamabad,55000
Usman,usman@gmail.com,invalid_date,Faisalabad,45000
Ayesha,ayesha@gmail.com,2024-03-10,Lahore,
Bilal,,2024-01-25,Multan,70000
Hina,hina@gmail.com,2024-02-05,Karachi,52000
Zain,zain@gmail.com,,Islamabad,48000
Fatima,fatima@gmail.com,2024-03-01,Lahore,65000
Omar,omar@gmail.com,2023-11-11,Quetta,40000
Ali Raza,ali.raza@gmail.com,2024-01-18,Lahore,51000
Sana,,2024-02-28,Karachi,62000
Hamza,hamza@gmail.com,invalid_date,Multan,53000
Noor,noor@gmail.com,2024-03-12,Faisalabad,
Tariq,tariq@gmail.com,2024-01-30,Islamabad,58000
Mehak,mehak@gmail.com,2024-02-07,Lahore,61000
Danish,,2023-12-25,Karachi,49000
Rabia,rabia@gmail.com,2024-03-03,Multan,57000
Saad,saad@gmail.com,,Quetta,46000
Iqra,iqra@gmail.com,2024-01-22,Lahore,64000
